SEASON,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,TOTAL
1920,0,0,0,0,T,1.7,3.5,13.3,T,0.1,0,0,18.6
1921,0,0,0,0,T,7.3,9.4,7.2,3.9,0,0,0,27.8
1922,0,0,0,0,1,8,24.5,18.8,8.1,T,0,0,60.4
1923,0,0,0,0,0,1.5,2.5,11.9,3.1,8.5,0,0,27.5
1924,0,0,0,0,T,0.9,27.4,1.3,T,T,0,0,29.6
1925,0,0,0,0.8,0.1,0.9,3.1,26.3,1.2,T,0,0,32.4
1926,0,0,0,T,T,11.7,5.7,4.6,0.2,0.1,0,0,22.3
1927,0,0,0,0,T,2.1,2.7,4,5.7,T,0,0,14.5
1928,0,0,0,T,T,2,2.3,9.3,0.2,T,0,0,13.8
1929,0,0,0,T,T,6.3,3.5,3.8,T,T,0,0,13.6
1930,0,0,0,0,T,5.7,0.5,3.6,1.8,T,0,0,11.6
1931,0,0,0,0,2,0.1,0.8,1.8,0.6,T,0,0,5.3
1932,0,0,0,0,0,9.4,T,12.8,4.8,T,0,0,27
1933,0,0,0,0,0.5,14.9,0.1,27.9,8.6,0,0,0,52
1934,0,0,0,T,T,1,23.6,7.2,2,T,0,0,33.8
1935,0,0,0,0,2.7,6.6,12.1,10.3,1.5,T,0,0,33.2
1936,0,0,0,T,3.2,T,6.5,3.4,2.5,T,0,0,15.6
1937,0,0,0,T,0.8,0.7,6.5,T,0.7,6.4,0,0,15.1
1938,0,0,0,0,12.8,1.7,10.3,5.5,7,T,0,0,37.3
1939,0,0,0,0,T,3.1,3.5,12,5.3,1.8,0,0,25.7
1940,0,0,0,T,2.2,3,9.2,5.4,19.2,0,0,0,39
1941,0,0,0,0,0,0.3,6.4,1.9,0.5,2.2,0,0,11.3
1942,0,0,0,0,T,8.5,9.5,4.4,7.1,T,0,0,29.5
1943,0,0,0,0,T,T,4.8,7.7,4.8,6.5,0,0,23.8
1944,0,0,0,T,T,6.7,12.3,8.1,T,0,0,0,27.1
1945,0,0,0,0,3.7,15.6,4.2,7.9,T,T,T,0,31.4
1946,0,0,0,0,0,1.3,5.5,17.7,6.1,T,0,0,30.6
1947,0,0,0,0,T,29.6,15.3,13.6,4.7,0,0,0,63.2
1948,0,0,0,0,T,25.3,6.4,10.7,4.2,0,0,0,46.6
1949,0,0,0,0,0.5,1.1,0.4,8.5,1.4,1.9,0,0,13.8
1950,0,0,0,0,T,3.8,3.2,1.9,2.7,0,0,0,11.6
1951,0,0,0,0,T,3.3,6.2,2.8,7.4,0,0,0,19.7
1952,0,0,0,0.5,1.7,7.5,4.1,0.4,0.9,T,0,0,15.1
1953,0,0,0,0,2.2,T,12.7,0.5,0.1,0.3,0,0,15.8
1954,0,0,0,0,T,0.1,2.6,5.2,3.6,0,0,0,11.5
1955,0,0,0,0,1,3.3,1.2,2.7,21.1,4.2,0,0,33.5
1956,0,0,0,0,T,0.9,8.9,7,2.6,2.5,0,0,21.9
1957,0,0,0,0,T,8.7,9.2,10.7,15.9,0.2,0,0,44.7
1958,0,0,0,0,T,3.8,1.5,0.4,6.7,0.6,0,0,13
1959,0,0,0,0,0.5,15.8,2.5,1.9,18.5,0,0,0,39.2
1960,0,0,0,T,0,18.6,16.7,18.2,1.2,T,0,0,54.7
1961,0,0,0,0,T,7.7,0.6,9.6,0.2,T,0,0,18.1
1962,0,0,0,T,T,4.5,5.3,3.7,2.8,T,0,0,16.3
1963,0,0,0,0,T,11.3,13.3,14.1,6,T,0,0,44.7
1964,0,0,0,0,0,3.1,14.8,2.5,2.8,1.2,0,0,24.4
1965,0,0,0,T,0,T,11.6,9.8,T,0,0,0,21.4
1966,0,0,0,0,0,9.1,1.4,23.6,17.4,T,0,0,51.5
1967,0,0,0,0,3.2,5.5,3.6,1.1,6.1,0,0,0,19.5
1968,0,0,0,0,T,7,1,16.6,5.6,0,0,0,30.2
1969,0,0,0,0,T,6.8,8.4,6.4,4,T,0,0,25.6
1970,0,0,0,0,0,2.4,11.4,T,1.3,0.4,0,0,15.5
1971,0,0,0,0,T,T,2.8,17.8,2.3,T,0,0,22.9
1972,0,0,0,T,T,T,1.8,0.8,0.2,T,0,0,2.8
1973,0,0,0,0,0,2.8,7.8,9.4,3.2,0.3,0,0,23.5
1974,0,0,0,0,0.1,0.1,2,10.6,0.3,T,0,0,13.1
1975,0,0,0,0,T,2.3,5.6,5,4.4,T,0,0,17.3
1976,0,0,0,0,T,5.1,13,5.8,0.6,T,T,0,24.5
1977,0,0,0,0,0.2,0.4,20.3,23,6.8,T,0,0,50.7
1978,0,0,0,0,2.2,0.5,6.6,20.1,T,T,0,0,29.4
1979,0,0,0,T,0,3.5,2,2.7,4.6,T,0,0,12.8
1980,0,0,0,0,T,2.8,8,T,8.6,0,0,0,19.4
1981,0,0,0,0,0,2.1,11.8,0.4,0.7,9.6,0,0,24.6
1982,0,0,0,0,0,3,1.9,21.5,T,0.8,0,0,27.2
1983,0,0,0,0,T,1.6,11.7,0.2,11.9,0,0,0,25.4
1984,0,0,0,0,T,5.5,8.4,10,0.2,T,0,0,24.1
1985,0,0,0,0,T,0.9,2.2,9.9,T,T,0,0,13
1986,0,0,0,0,T,0.6,13.6,7,1.9,0,0,0,23.1
1987,0,0,0,0,1.1,2.6,13.9,1.5,T,0,0,0,19.1
1988,0,0,0,0,0,0.3,5,0.3,2.5,0,0,0,8.1
1989,0,0,0,0,4.7,1.4,1.8,1.8,3.1,0.6,0,0,13.4
1990,0,0,0,0,0,7.2,8.4,9.1,0.2,0,0,0,24.9
1991,0,0,0,0,T,0.7,1.5,1,9.4,T,0,0,12.6
1992,0,0,0,0,0,0.4,1.5,10.7,11.9,0,0,0,24.5
1993,0,0,0,0,T,6.9,12,26.4,8.1,0,0,0,53.4
1994,0,0,0,0,T,T,0.2,11.6,T,T,0,0,11.8
1995,0,0,0,0,2.9,11.5,26.1,21.2,13.2,0.7,0,0,75.6
1996,0,0,0,0,0.1,T,4.4,3.8,1.7,T,0,0,10
1997,0,0,0,0,T,T,0.5,0,5,0,0,0,5.5
1998,0,0,0,0,0,2,4.5,1.7,4.5,0,0,0,12.7
1999,0,0,0,0,0,T,9.5,5.2,0.4,1.2,0,0,16.3
2000,0,0,0,T,0,13.4,8.3,9.5,3.8,0,0,0,35
2001,0,0,0,0,0,T,3.5,T,T,T,0,0,3.5
2002,0,0,0,T,T,11,4.7,26.1,3.5,4,0,0,49.3
2003,0,0,0,0,0,19.8,17.3,0.7,4.8,0,0,0,42.6
2004,0,0,0,0,T,3,15.3,15.8,6.9,0,0,0,41
2005,0,0,0,0,T,9.7,2,26.9,1.3,0.1,0,0,40
2006,0,0,0,0,0,0,2.6,3.8,6,T,0,0,12.4
2007,0,0,0,0,T,2.9,T,9,T,0,0,0,11.9
2008,0,0,0,0,T,6,9,4.3,8.3,T,0,0,27.6
2009,0,0,0,0,0,12.4,2.1,36.9,T,0,0,0,51.4
2010,0,0,0,0,T,20.1,36,4.8,1,T,0,0,61.9
2011,0,0,0,2.9,0,0,4.3,0.2,0,0,0,0,7.4
2012,0,0,0,0,4.7,0.4,1.5,12.2,7.3,0,0,0,26.1
2013,0,0,0,0,T,8.6,19.7,29,0.1,T,0,0,57.4
2014,0,0,0,0,0.2,1,16.9,13.6,18.6,0,0,0,50.3
2015,0,0,0,0,0,T,27.9,4,0.9,T,0,0,32.1
2016,0,0,0,0,T,3.2,7.9,9.4,9.7,0,0,0,30.2
